date,department,total_beds,occupied_beds,critical_alerts,staff_on_duty
2026-07-13,Neurology,100,72,1,10
2026-07-13,Orthopedics,100,78,2,18
2026-07-13,General,100,87,0,22
2026-07-13,Emergency,100,72,3,22
2026-07-14,Cardiology,100,90,3,21
2026-07-14,Neurology,100,59,2,24
2026-07-14,Orthopedics,100,84,0,12
2026-07-14,General,100,48,0,10
2026-07-14,Emergency,100,65,0,20
2026-07-15,Cardiology,100,88,1,23
2026-07-15,Neurology,100,94,2,29
2026-07-15,Orthopedics,100,56,2,14
2026-07-15,General,100,57,0,29
2026-07-15,Emergency,100,92,2,26
2026-07-16,Cardiology,100,91,3,20
2026-07-16,Neurology,100,57,1,13
2026-07-16,Orthopedics,100,89,3,22
2026-07-16,General,100,46,0,13
2026-07-16,Emergency,100,70,1,26
2026-07-17,Cardiology,100,44,4,17
2026-07-17,Neurology,100,65,3,18
2026-07-17,Orthopedics,100,41,0,25
2026-07-17,General,100,66,3,26
2026-07-17,Emergency,100,50,0,27
2026-07-18,Cardiology,100,56,3,29
2026-07-18,Neurology,100,43,1,18
2026-07-18,Orthopedics,100,46,1,23
2026-07-18,General,100,52,1,19
2026-07-18,Emergency,100,81,0,29
2026-07-19,Cardiology,100,57,0,23
2026-07-19,Neurology,100,63,3,26
2026-07-19,Orthopedics,100,58,1,17
2026-07-19,General,100,54,1,20
2026-07-19,Emergency,100,57,0,12
2026-07-20,Cardiology,100,68,0,11
2026-07-20,Neurology,100,53,1,26
2026-07-20,Orthopedics,100,56,2,26
2026-07-20,General,100,93,4,26
2026-07-20,Emergency,100,79,4,14
2026-07-21,Cardiology,100,67,2,19
2026-07-21,Neurology,100,92,4,18
2026-07-21,Orthopedics,100,66,4,13
2026-07-21,General,100,93,3,15
2026-07-21,Emergency,100,42,3,29
2026-07-22,Cardiology,100,80,3,10
2026-07-22,Neurology,100,79,4,15
2026-07-22,Orthopedics,100,48,2,26
2026-07-22,General,100,65,3,15
2026-07-22,Emergency,100,65,3,15
2026-07-23,Cardiology,100,63,3,23
2026-07-23,Neurology,100,66,3,21
2026-07-23,Orthopedics,100,57,0,15
2026-07-23,General,100,91,0,10
2026-07-23,Emergency,100,44,2,15
2026-07-24,Cardiology,100,70,4,11
2026-07-24,Neurology,100,90,3,17
2026-07-24,Orthopedics,100,91,1,12
2026-07-24,General,100,56,1,13
2026-07-24,Emergency,100,48,2,22
2026-07-25,Cardiology,100,74,0,19
2026-07-25,Neurology,100,52,1,12
2026-07-25,Orthopedics,100,82,4,22
2026-07-25,General,100,85,1,24
2026-07-25,Emergency,100,40,0,25
2026-07-26,Cardiology,100,61,3,13
2026-07-26,Neurology,100,40,2,20
2026-07-26,Orthopedics,100,79,1,15
2026-07-26,General,100,52,1,10
2026-07-26,Emergency,100,94,0,15
2026-07-27,Cardiology,100,76,3,23
2026-07-27,Neurology,100,85,3,29
2026-07-27,Orthopedics,100,48,4,26
2026-07-27,General,100,70,1,29
2026-07-27,Emergency,100,63,4,29
2026-07-28,Cardiology,100,53,1,18
2026-07-28,Neurology,100,74,0,20
2026-07-28,Orthopedics,100,64,1,12
2026-07-28,General,100,74,1,18
2026-07-28,Emergency,100,77,0,26
2026-07-29,Cardiology,100,76,2,27
2026-07-29,Neurology,100,84,0,20
2026-07-29,Orthopedics,100,80,4,23
2026-07-29,General,100,42,4,20
2026-07-29,Emergency,100,53,2,24
2026-07-30,Cardiology,100,75,0,21
2026-07-30,Neurology,100,56,3,23
2026-07-30,Orthopedics,100,85,2,29
2026-07-30,General,100,43,0,21
2026-07-30,Emergency,100,48,0,13
2026-07-31,Cardiology,100,86,0,22
2026-07-31,Neurology,100,70,0,23
2026-07-31,Orthopedics,100,53,3,11
2026-07-31,General,100,92,4,16
2026-07-31,Emergency,100,83,3,20
2026-08-01,Cardiology,100,65,2,23
2026-08-01,Neurology,100,49,4,25
2026-08-01,Orthopedics,100,63,1,17
2026-08-01,General,100,59,4,20
2026-08-01,Emergency,100,80,4,10
2026-08-02,Cardiology,100,49,2,12
2026-08-02,Neurology,100,91,1,22
2026-08-02,Orthopedics,100,91,0,25
2026-08-02,General,100,68,1,13
2026-08-02,Emergency,100,93,3,12
2026-08-03,Cardiology,100,88,3,11
2026-08-03,Neurology,100,77,4,25
2026-08-03,Orthopedics,100,57,3,23
2026-08-03,General,100,86,1,23
2026-08-03,Emergency,100,66,2,10
2026-08-04,Cardiology,100,66,1,10
2026-08-04,Neurology,100,85,0,16
2026-08-04,Orthopedics,100,58,2,14
2026-08-04,General,100,67,2,13
2026-08-04,Emergency,100,76,3,21
2026-08-05,Cardiology,100,71,4,19
2026-08-05,Neurology,100,63,3,10
2026-08-05,Orthopedics,100,43,1,16
2026-08-05,General,100,77,2,26
2026-08-05,Emergency,100,49,2,27
2026-08-06,Cardiology,100,89,3,14
2026-08-06,Neurology,100,78,3,17
2026-08-06,Orthopedics,100,70,4,10
2026-08-06,General,100,80,3,18
2026-08-06,Emergency,100,69,0,16
2026-08-07,Cardiology,100,54,3,29
2026-08-07,Neurology,100,93,0,22
2026-08-07,Orthopedics,100,48,1,27
2026-08-07,General,100,70,0,26
2026-08-07,Emergency,100,51,4,29
2026-08-08,Cardiology,100,88,4,23
2026-08-08,Neurology,100,82,0,18
2026-08-08,Orthopedics,100,44,1,11
2026-08-08,General,100,76,0,18
2026-08-08,Emergency,100,43,4,21
2026-08-09,Cardiology,100,54,1,21
2026-08-09,Neurology,100,68,2,19
2026-08-09,Orthopedics,100,49,3,21
2026-08-09,General,100,45,3,14
2026-08-09,Emergency,100,52,2,13
2026-08-10,Cardiology,100,88,4,11
2026-08-10,Neurology,100,93,2,10
2026-08-10,Orthopedics,100,91,3,28
2026-08-10,General,100,88,4,22
2026-08-10,Emergency,100,93,1,19
2026-08-11,Cardiology,100,87,4,15
2026-08-11,Neurology,100,91,0,19
2026-08-11,Orthopedics,100,62,4,16
2026-08-11,General,100,41,4,27
2026-08-11,Emergency,100,63,1,25
2026-08-12,Cardiology,100,86,1,29
2026-08-12,Neurology,100,76,1,19
2026-08-12,Orthopedics,100,48,2,21
2026-08-12,General,100,91,4,27
2026-08-12,Emergency,100,77,1,16
2026-08-13,Cardiology,100,82,2,12
2026-08-13,Neurology,100,54,3,22
2026-08-13,Orthopedics,100,44,3,28
2026-08-13,General,100,44,4,29
2026-08-13,Emergency,100,84,3,23
2026-08-14,Cardiology,100,73,2,16
2026-08-14,Neurology,100,79,2,17
2026-08-14,Orthopedics,100,85,0,19
2026-08-14,General,100,41,3,28
2026-08-14,Emergency,100,42,0,15
2026-08-15,Cardiology,100,81,4,11
2026-08-15,Neurology,100,49,3,10
2026-08-15,Orthopedics,100,92,0,25
2026-08-15,General,100,93,3,24
2026-08-15,Emergency,100,55,1,25
2026-08-16,Cardiology,100,81,2,10
2026-08-16,Neurology,100,57,0,27
2026-08-16,Orthopedics,100,60,4,20
2026-08-16,General,100,83,3,24
2026-08-16,Emergency,100,78,3,23
2026-08-17,Cardiology,100,69,3,28
2026-08-17,Neurology,100,61,1,21
2026-08-17,Orthopedics,100,91,3,20
2026-08-17,General,100,88,4,29
2026-08-17,Emergency,100,52,2,12
2026-08-18,Cardiology,100,61,2,18
2026-08-18,Neurology,100,54,0,27
2026-08-18,Orthopedics,100,58,3,23
2026-08-18,General,100,73,4,19
2026-08-18,Emergency,100,71,3,28
2026-08-19,Cardiology,100,42,4,23
2026-08-19,Neurology,100,61,4,16
2026-08-19,Orthopedics,100,70,4,17
2026-08-19,General,100,86,1,25
2026-08-19,Emergency,100,93,1,28
2026-08-20,Cardiology,100,77,2,13
2026-08-20,Neurology,100,52,3,23
2026-08-20,Orthopedics,100,81,3,16
2026-08-20,General,100,57,0,18
2026-08-20,Emergency,100,55,1,22
2026-08-21,Cardiology,100,81,2,27
2026-08-21,Neurology,100,92,2,19
2026-08-21,Orthopedics,100,55,0,26
2026-08-21,General,100,64,2,22
2026-08-21,Emergency,100,41,1,22
2026-08-22,Cardiology,100,71,0,17
2026-08-22,Neurology,100,92,3,18
2026-08-22,Orthopedics,100,58,3,26
2026-08-22,General,100,45,4,27
2026-08-22,Emergency,100,62,1,10
2026-08-23,Cardiology,100,44,4,22
2026-08-23,Neurology,100,93,0,21
2026-08-23,Orthopedics,100,79,0,13
2026-08-23,General,100,89,4,28
2026-08-23,Emergency,100,82,2,27
