date,department,revenue,expenses,net_revenue
2026-01-02,Emergency,103702,73764,29938
2026-01-03,Cardiology,53887,40207,13680
2026-01-03,Neurology,98852,64759,34093
2026-01-03,Orthopedics,43600,33456,10144
2026-01-03,General,93062,57767,35295
2026-01-03,Emergency,129860,86960,42900
2026-01-04,Cardiology,66958,46027,20931
2026-01-04,Neurology,31274,23971,7303
2026-01-04,Orthopedics,74804,56979,17825
2026-01-04,General,47781,30924,16857
2026-01-04,Emergency,112059,74233,37826
2026-01-05,Cardiology,74764,48485,26279
2026-01-05,Neurology,140801,110741,30060
2026-01-05,Orthopedics,116754,80751,36003
2026-01-05,General,117449,85246,32203
2026-01-05,Emergency,177678,128156,49522
2026-01-06,Cardiology,128544,97245,31299
2026-01-06,Neurology,125402,83125,42277
2026-01-06,Orthopedics,76042,48196,27846
2026-01-06,General,69455,52262,17193
2026-01-06,Emergency,170302,121753,48549
2026-01-07,Cardiology,73812,56028,17784
2026-01-07,Neurology,128406,77156,51250
2026-01-07,Orthopedics,76989,47892,29097
2026-01-07,General,63589,39556,24033
2026-01-07,Emergency,140696,112157,28539
2026-01-08,Cardiology,137293,98407,38886
2026-01-08,Neurology,92686,67105,25581
2026-01-08,Orthopedics,62747,43415,19332
2026-01-08,General,118416,89528,28888
2026-01-08,Emergency,158592,99125,59467
2026-01-09,Cardiology,66731,43755,22976
2026-01-09,Neurology,120335,88569,31766
2026-01-09,Orthopedics,83564,52199,31365
2026-01-09,General,114317,87797,26520
2026-01-09,Emergency,108863,72316,36547
2026-01-10,Cardiology,54726,33420,21306
2026-01-10,Neurology,79859,56365,23494
2026-01-10,Orthopedics,25754,17595,8159
2026-01-10,General,66836,53199,13637
2026-01-10,Emergency,172902,116603,56299
2026-01-11,Cardiology,58267,41893,16374
2026-01-11,Neurology,99259,78302,20957
2026-01-11,Orthopedics,65407,50511,14896
2026-01-11,General,30479,21864,8615
2026-01-11,Emergency,112874,69076,43798
2026-01-12,Cardiology,110405,73185,37220
2026-01-12,Neurology,103859,74729,29130
2026-01-12,Orthopedics,94046,56612,37434
2026-01-12,General,90435,69328,21107
2026-01-12,Emergency,123463,85347,38116
2026-01-13,Cardiology,63965,43325,20640
2026-01-13,Neurology,55143,41484,13659
2026-01-13,Orthopedics,133043,96132,36911
2026-01-13,General,59800,45112,14688
2026-01-13,Emergency,148886,111951,36935
2026-01-14,Cardiology,129889,91922,37967
2026-01-14,Neurology,64179,46702,17477
2026-01-14,Orthopedics,126447,82824,43623
2026-01-14,General,95943,65910,30033
2026-01-14,Emergency,99387,71050,28337
2026-01-15,Cardiology,137396,93021,44375
2026-01-15,Neurology,61724,41714,20010
2026-01-15,Orthopedics,103344,73175,30169
2026-01-15,General,69034,47955,21079
2026-01-15,Emergency,115564,86517,29047
2026-01-16,Cardiology,131255,81578,49677
2026-01-16,Neurology,47640,37378,10262
2026-01-16,Orthopedics,104175,78260,25915
2026-01-16,General,87363,63321,24042
2026-01-16,Emergency,91133,65422,25711
2026-01-17,Cardiology,73542,58774,14768
2026-01-17,Neurology,49776,31456,18320
2026-01-17,Orthopedics,78010,57431,20579
2026-01-17,General,32913,23573,9340
2026-01-17,Emergency,98035,77428,20607
2026-01-18,Cardiology,80082,55690,24392
2026-01-18,Neurology,62542,49563,12979
2026-01-18,Orthopedics,80191,59208,20983
2026-01-18,General,34114,23394,10720
2026-01-18,Emergency,92684,70738,21946
2026-01-19,Cardiology,70275,48009,22266
2026-01-19,Neurology,75296,59192,16104
2026-01-19,Orthopedics,108892,73124,35768
2026-01-19,General,95248,66290,28958
2026-01-19,Emergency,139915,96430,43485
2026-01-20,Cardiology,122862,96598,26264
2026-01-20,Neurology,85974,67146,18828
2026-01-20,Orthopedics,56967,40380,16587
2026-01-20,General,64949,47675,17274
2026-01-20,Emergency,160129,108133,51996
2026-01-21,Cardiology,95865,66326,29539
2026-01-21,Neurology,59452,43764,15688
2026-01-21,Orthopedics,66899,48332,18567
2026-01-21,General,136927,85844,51083
2026-01-21,Emergency,93873,69688,24185
2026-01-22,Cardiology,141660,105837,35823
2026-01-22,Neurology,106363,66557,39806
2026-01-22,Orthopedics,78611,62252,16359
2026-01-22,General,149867,105191,44676
2026-01-22,Emergency,99172,67238,31934
2026-01-23,Cardiology,66162,48724,17438
2026-01-23,Neurology,103258,67009,36249
2026-01-23,Orthopedics,61876,48519,13357
2026-01-23,General,125368,77878,47490
2026-01-23,Emergency,106692,81194,25498
2026-01-24,Cardiology,74392,54308,20084
2026-01-24,Neurology,24336,18605,5731
2026-01-24,Orthopedics,90164,54618,35546
2026-01-24,General,70440,50232,20208
2026-01-24,Emergency,91492,61747,29745
2026-01-25,Cardiology,74908,55517,19391
2026-01-25,Neurology,43845,30137,13708
2026-01-25,Orthopedics,69447,52318,17129
2026-01-25,General,81689,63573,18116
2026-01-25,Emergency,125521,83514,42007
2026-01-26,Cardiology,88267,58214,30053
2026-01-26,Neurology,130598,102092,28506
2026-01-26,Orthopedics,87186,65997,21189
2026-01-26,General,67179,42590,24589
2026-01-26,Emergency,86407,61073,25334
2026-01-27,Cardiology,95748,73839,21909
2026-01-27,Neurology,53520,39026,14494
2026-01-27,Orthopedics,128402,82096,46306
2026-01-27,General,42422,27120,15302
2026-01-27,Emergency,90797,60427,30370
2026-01-28,Cardiology,133858,96109,37749
2026-01-28,Neurology,60971,40442,20529
2026-01-28,Orthopedics,91501,64318,27183
2026-01-28,General,118530,71472,47058
2026-01-28,Emergency,117496,85752,31744
2026-01-29,Cardiology,136455,94358,42097
2026-01-29,Neurology,68827,46559,22268
2026-01-29,Orthopedics,150627,100191,50436
2026-01-29,General,109726,79892,29834
2026-01-29,Emergency,98791,73147,25644
2026-01-30,Cardiology,104115,63101,41014
2026-01-30,Neurology,153361,100336,53025
2026-01-30,Orthopedics,121799,92636,29163
2026-01-30,General,70667,53986,16681
2026-01-30,Emergency,117740,77086,40654
2026-01-31,Cardiology,37172,28826,8346
2026-01-31,Neurology,65566,51551,14015
2026-01-31,Orthopedics,40107,26369,13738
2026-01-31,General,53650,36301,17349
2026-01-31,Emergency,181897,138231,43666
2026-02-01,Cardiology,68739,45123,23616
2026-02-01,Neurology,88531,57755,30776
2026-02-01,Orthopedics,91027,68122,22905
2026-02-01,General,70965,53754,17211
2026-02-01,Emergency,93395,57289,36106
2026-02-02,Cardiology,58242,41752,16490
2026-02-02,Neurology,151444,103676,47768
2026-02-02,Orthopedics,87864,61709,26155
2026-02-02,General,133346,84836,48510
2026-02-02,Emergency,132877,101141,31736
2026-02-03,Cardiology,95742,70778,24964
2026-02-03,Neurology,126682,97829,28853
2026-02-03,Orthopedics,76215,51953,24262
2026-02-03,General,142054,109103,32951
2026-02-03,Emergency,149629,118260,31369
2026-02-04,Cardiology,85392,51267,34125
2026-02-04,Neurology,80138,54681,25457
2026-02-04,Orthopedics,85228,54801,30427
2026-02-04,General,89145,65379,23766
2026-02-04,Emergency,163992,102911,61081
2026-02-05,Cardiology,144620,92596,52024
2026-02-05,Neurology,92005,71647,20358
2026-02-05,Orthopedics,98090,78429,19661
2026-02-05,General,64225,44730,19495
2026-02-05,Emergency,85428,58442,26986
2026-02-06,Cardiology,84203,63839,20364
2026-02-06,Neurology,92318,69079,23239
2026-02-06,Orthopedics,61814,39554,22260
2026-02-06,General,95491,62004,33487
2026-02-06,Emergency,141010,98409,42601
2026-02-07,Cardiology,83713,54306,29407
2026-02-07,Neurology,52648,33204,19444
2026-02-07,Orthopedics,44836,27884,16952
2026-02-07,General,66142,49341,16801
2026-02-07,Emergency,102803,64051,38752
2026-02-08,Cardiology,36452,22084,14368
2026-02-08,Neurology,78645,58766,19879
2026-02-08,Orthopedics,64603,46825,17778
2026-02-08,General,48329,31512,16817
2026-02-08,Emergency,134034,104147,29887
2026-02-09,Cardiology,76720,58184,18536
2026-02-09,Neurology,122811,86379,36432
2026-02-09,Orthopedics,55015,36753,18262
2026-02-09,General,126503,98779,27724
2026-02-09,Emergency,108915,72006,36909
2026-02-10,Cardiology,94551,64604,29947
2026-02-10,Neurology,57841,44302,13539
2026-02-10,Orthopedics,156062,98699,57363
2026-02-10,General,89346,59953,29393
2026-02-10,Emergency,121832,83657,38175
2026-02-11,Cardiology,111842,88749,23093
2026-02-11,Neurology,62130,41820,20310
2026-02-11,Orthopedics,102522,76597,25925
2026-02-11,General,125456,82475,42981
2026-02-11,Emergency,152699,98862,53837
2026-02-12,Cardiology,102173,70474,31699
2026-02-12,Neurology,62403,42904,19499
2026-02-12,Orthopedics,133937,94677,39260
2026-02-12,General,123493,81939,41554
2026-02-12,Emergency,100442,68142,32300
2026-02-13,Cardiology,61637,45072,16565
2026-02-13,Neurology,56869,42401,14468
2026-02-13,Orthopedics,69376,43097,26279
2026-02-13,General,77375,57432,19943
2026-02-13,Emergency,156100,109308,46792
2026-02-14,Cardiology,72505,56923,15582
2026-02-14,Neurology,54057,34731,19326
2026-02-14,Orthopedics,48876,36568,12308
2026-02-14,General,94369,71485,22884
2026-02-14,Emergency,121272,74291,46981
2026-02-15,Cardiology,70518,44386,26132
2026-02-15,Neurology,53261,41814,11447
2026-02-15,Orthopedics,64940,50570,14370
2026-02-15,General,36391,24073,12318
2026-02-15,Emergency,151383,91801,59582
2026-02-16,Cardiology,78300,62242,16058
2026-02-16,Neurology,135828,97760,38068
2026-02-16,Orthopedics,49162,33835,15327
2026-02-16,General,96022,72443,23579
2026-02-16,Emergency,139422,100629,38793
2026-02-17,Cardiology,61276,37047,24229
2026-02-17,Neurology,73649,55784,17865
2026-02-17,Orthopedics,62043,39255,22788
2026-02-17,General,55580,35581,19999
2026-02-17,Emergency,151093,100401,50692
2026-02-18,Cardiology,100261,75427,24834
2026-02-18,Neurology,69665,48177,21488
2026-02-18,Orthopedics,151165,117160,34005
2026-02-18,General,64311,44068,20243
2026-02-18,Emergency,181662,145012,36650
2026-02-19,Cardiology,67760,41305,26455
2026-02-19,Neurology,84076,51162,32914
2026-02-19,Orthopedics,107100,64627,42473
2026-02-19,General,74680,55204,19476
2026-02-19,Emergency,179261,132666,46595
2026-02-20,Cardiology,104683,66488,38195
2026-02-20,Neurology,97440,62187,35253
2026-02-20,Orthopedics,128498,78123,50375
2026-02-20,General,66648,50629,16019
2026-02-20,Emergency,155376,122202,33174
2026-02-21,Cardiology,86420,66741,19679
2026-02-21,Neurology,72282,50364,21918
2026-02-21,Orthopedics,24530,15878,8652
2026-02-21,General,58380,41478,16902
2026-02-21,Emergency,157731,112321,45410
2026-02-22,Cardiology,65006,40172,24834
2026-02-22,Neurology,50114,30161,19953
2026-02-22,Orthopedics,47701,29808,17893
2026-02-22,General,73710,48687,25023
2026-02-22,Emergency,178826,123998,54828
2026-02-23,Cardiology,86361,55692,30669
2026-02-23,Neurology,150478,102066,48412
2026-02-23,Orthopedics,62960,40180,22780
2026-02-23,General,57118,40065,17053
2026-02-23,Emergency,131391,98077,33314
2026-02-24,Cardiology,145269,97747,47522
2026-02-24,Neurology,77335,48209,29126
2026-02-24,Orthopedics,101718,68955,32763
2026-02-24,General,93371,73360,20011
2026-02-24,Emergency,139580,106959,32621
2026-02-25,Cardiology,98368,77167,21201
2026-02-25,Neurology,149143,111706,37437
2026-02-25,Orthopedics,88741,65613,23128
2026-02-25,General,62505,42518,19987
2026-02-25,Emergency,179229,112522,66707
2026-02-26,Cardiology,99880,61909,37971
2026-02-26,Neurology,75823,60614,15209
2026-02-26,Orthopedics,61040,46510,14530
2026-02-26,General,91703,63264,28439
2026-02-26,Emergency,138877,106737,32140
2026-02-27,Cardiology,73137,55489,17648
2026-02-27,Neurology,66561,48248,18313
2026-02-27,Orthopedics,80485,60214,20271
2026-02-27,General,134479,91074,43405
2026-02-27,Emergency,129862,78190,51672
2026-02-28,Cardiology,56063,40522,15541
2026-02-28,Neurology,58570,38535,20035
2026-02-28,Orthopedics,80940,57738,23202
2026-02-28,General,64997,50739,14258
2026-02-28,Emergency,131697,83499,48198
2026-03-01,Cardiology,51477,38762,12715
2026-03-01,Neurology,68375,42435,25940
2026-03-01,Orthopedics,57949,43201,14748
2026-03-01,General,67654,50701,16953
2026-03-01,Emergency,119836,81651,38185
2026-03-02,Cardiology,59372,37743,21629
2026-03-02,Neurology,131388,83385,48003
2026-03-02,Orthopedics,70444,45464,24980
2026-03-02,General,97867,60843,37024
2026-03-02,Emergency,99621,66019,33602
2026-03-03,Cardiology,70138,45133,25005
2026-03-03,Neurology,97981,68239,29742
2026-03-03,Orthopedics,76439,57094,19345
2026-03-03,General,133529,81324,52205
2026-03-03,Emergency,114806,71782,43024
2026-03-04,Cardiology,92282,56936,35346
2026-03-04,Neurology,99167,63983,35184
2026-03-04,Orthopedics,54086,39910,14176
2026-03-04,General,125211,91623,33588
2026-03-04,Emergency,93268,66516,26752
2026-03-05,Cardiology,62894,44378,18516
2026-03-05,Neurology,132306,94643,37663
2026-03-05,Orthopedics,103844,73838,30006
2026-03-05,General,120293,83131,37162
2026-03-05,Emergency,129822,94157,35665
2026-03-06,Cardiology,142969,108643,34326
2026-03-06,Neurology,124473,97391,27082
2026-03-06,Orthopedics,67237,52109,15128
2026-03-06,General,134267,107196,27071
2026-03-06,Emergency,175399,131482,43917
2026-03-07,Cardiology,43543,27626,15917
2026-03-07,Neurology,79400,55361,24039
2026-03-07,Orthopedics,93839,65471,28368
2026-03-07,General,78331,54706,23625
2026-03-07,Emergency,123217,97798,25419
2026-03-08,Cardiology,63888,42736,21152
2026-03-08,Neurology,75071,51224,23847
2026-03-08,Orthopedics,94607,56920,37687
2026-03-08,General,76047,48623,27424
2026-03-08,Emergency,132244,83505,48739
2026-03-09,Cardiology,97423,66860,30563
2026-03-09,Neurology,104472,63161,41311
2026-03-09,Orthopedics,123192,86121,37071
2026-03-09,General,152958,120602,32356
2026-03-09,Emergency,152857,100712,52145
2026-03-10,Cardiology,93265,64750,28515
2026-03-10,Neurology,60549,44190,16359
2026-03-10,Orthopedics,64647,50322,14325
2026-03-10,General,141105,107261,33844
2026-03-10,Emergency,190694,150003,40691
2026-03-11,Cardiology,87619,56059,31560
2026-03-11,Neurology,143554,92047,51507
2026-03-11,Orthopedics,94722,65765,28957
2026-03-11,General,78555,53600,24955
2026-03-11,Emergency,152471,95165,57306
2026-03-12,Cardiology,145967,105580,40387
2026-03-12,Neurology,66773,50446,16327
2026-03-12,Orthopedics,135349,88639,46710
2026-03-12,General,80650,60528,20122
2026-03-12,Emergency,160814,114313,46501
2026-03-13,Cardiology,65291,48264,17027
2026-03-13,Neurology,145979,97819,48160
2026-03-13,Orthopedics,83802,64672,19130
2026-03-13,General,84637,52988,31649
2026-03-13,Emergency,136263,95520,40743
2026-03-14,Cardiology,58982,42995,15987
2026-03-14,Neurology,44016,26585,17431
2026-03-14,Orthopedics,30961,20307,10654
2026-03-14,General,64532,49472,15060
2026-03-14,Emergency,98399,68058,30341
2026-03-15,Cardiology,76942,52686,24256
2026-03-15,Neurology,81547,63284,18263
2026-03-15,Orthopedics,82494,63492,19002
2026-03-15,General,47423,35182,12241
2026-03-15,Emergency,180547,112033,68514
2026-03-16,Cardiology,89555,61404,28151
2026-03-16,Neurology,61530,48642,12888
2026-03-16,Orthopedics,107354,74945,32409
2026-03-16,General,110898,86807,24091
2026-03-16,Emergency,176100,122747,53353
2026-03-17,Cardiology,98945,72859,26086
2026-03-17,Neurology,100772,76829,23943
2026-03-17,Orthopedics,82487,63558,18929
2026-03-17,General,134907,87936,46971
2026-03-17,Emergency,84830,58875,25955
2026-03-18,Cardiology,73606,53340,20266
2026-03-18,Neurology,92818,61418,31400
2026-03-18,Orthopedics,148099,109295,38804
2026-03-18,General,75732,57908,17824
2026-03-18,Emergency,155516,100680,54836
2026-03-19,Cardiology,55448,34145,21303
2026-03-19,Neurology,140746,95507,45239
2026-03-19,Orthopedics,118804,82188,36616
2026-03-19,General,55772,37451,18321
2026-03-19,Emergency,130853,93176,37677
2026-03-20,Cardiology,64684,47126,17558
2026-03-20,Neurology,66546,52869,13677
2026-03-20,Orthopedics,120589,91532,29057
2026-03-20,General,80468,50535,29933
2026-03-20,Emergency,178261,119706,58555
2026-03-21,Cardiology,45190,28760,16430
2026-03-21,Neurology,78476,47489,30987
2026-03-21,Orthopedics,83911,55118,28793
2026-03-21,General,88160,66396,21764
2026-03-21,Emergency,124614,88839,35775
2026-03-22,Cardiology,92587,73190,19397
2026-03-22,Neurology,67884,50236,17648
2026-03-22,Orthopedics,37542,29116,8426
2026-03-22,General,56555,40217,16338
2026-03-22,Emergency,150902,91687,59215
2026-03-23,Cardiology,117380,75892,41488
2026-03-23,Neurology,100883,63863,37020
2026-03-23,Orthopedics,116680,70768,45912
2026-03-23,General,126348,88690,37658
2026-03-23,Emergency,176715,134442,42273
2026-03-24,Cardiology,121164,74010,47154
2026-03-24,Neurology,115061,84071,30990
2026-03-24,Orthopedics,120601,81440,39161
2026-03-24,General,104407,75237,29170
2026-03-24,Emergency,107630,69487,38143
2026-03-25,Cardiology,86462,56937,29525
2026-03-25,Neurology,81619,56355,25264
2026-03-25,Orthopedics,81886,57812,24074
2026-03-25,General,45676,29755,15921
2026-03-25,Emergency,143208,97229,45979
2026-03-26,Cardiology,100110,64007,36103
2026-03-26,Neurology,103105,68137,34968
2026-03-26,Orthopedics,74428,47362,27066
2026-03-26,General,129009,102349,26660
2026-03-26,Emergency,175254,121559,53695
2026-03-27,Cardiology,90219,64242,25977
2026-03-27,Neurology,55605,35558,20047
2026-03-27,Orthopedics,77749,60504,17245
2026-03-27,General,147098,112548,34550
2026-03-27,Emergency,174076,128503,45573
2026-03-28,Cardiology,77376,61389,15987
2026-03-28,Neurology,81613,53550,28063
2026-03-28,Orthopedics,32732,23973,8759
2026-03-28,General,63807,42476,21331
2026-03-28,Emergency,121492,92866,28626
2026-03-29,Cardiology,79272,53395,25877
2026-03-29,Neurology,40419,28149,12270
2026-03-29,Orthopedics,95584,73348,22236
2026-03-29,General,47773,29973,17800
2026-03-29,Emergency,168975,129561,39414
2026-03-30,Cardiology,113577,69357,44220
2026-03-30,Neurology,128020,79510,48510
2026-03-30,Orthopedics,154518,123184,31334
2026-03-30,General,135793,101760,34033
2026-03-30,Emergency,139252,98978,40274
2026-03-31,Cardiology,103926,64123,39803
2026-03-31,Neurology,79250,61355,17895
2026-03-31,Orthopedics,88984,56221,32763
2026-03-31,General,51778,31942,19836
2026-03-31,Emergency,170289,104700,65589
2026-04-01,Cardiology,86403,55192,31211
2026-04-01,Neurology,73043,54875,18168
2026-04-01,Orthopedics,97859,68420,29439
2026-04-01,General,120897,79967,40930
2026-04-01,Emergency,191017,119512,71505
2026-04-02,Cardiology,141808,94993,46815
2026-04-02,Neurology,147064,112399,34665
2026-04-02,Orthopedics,54524,34408,20116
2026-04-02,General,99870,76297,23573
2026-04-02,Emergency,166878,129866,37012
2026-04-03,Cardiology,109185,80673,28512
2026-04-03,Neurology,75690,59627,16063
2026-04-03,Orthopedics,131156,95386,35770
2026-04-03,General,96612,69149,27463
2026-04-03,Emergency,202689,125393,77296
2026-04-04,Cardiology,91715,59207,32508
2026-04-04,Neurology,48971,36295,12676
2026-04-04,Orthopedics,52228,34340,17888
2026-04-04,General,40320,31284,9036
2026-04-04,Emergency,131647,96722,34925
2026-04-05,Cardiology,68091,51444,16647
2026-04-05,Neurology,76701,54438,22263
2026-04-05,Orthopedics,56436,42156,14280
2026-04-05,General,87701,56716,30985
2026-04-05,Emergency,175815,106219,69596
2026-04-06,Cardiology,59087,46036,13051
2026-04-06,Neurology,76377,56821,19556
2026-04-06,Orthopedics,148967,99624,49343
2026-04-06,General,94349,60348,34001
2026-04-06,Emergency,101460,61967,39493
2026-04-07,Cardiology,150936,94010,56926
2026-04-07,Neurology,90872,65422,25450
2026-04-07,Orthopedics,74526,45097,29429
2026-04-07,General,54769,38903,15866
2026-04-07,Emergency,159477,113348,46129
2026-04-08,Cardiology,80331,62694,17637
2026-04-08,Neurology,130612,82292,48320
2026-04-08,Orthopedics,76784,59985,16799
2026-04-08,General,109835,74329,35506
2026-04-08,Emergency,176570,124302,52268
2026-04-09,Cardiology,57859,38223,19636
2026-04-09,Neurology,76985,53419,23566
2026-04-09,Orthopedics,74972,48601,26371
2026-04-09,General,107765,67279,40486
2026-04-09,Emergency,136424,91907,44517
2026-04-10,Cardiology,136112,98495,37617
2026-04-10,Neurology,131287,87011,44276
2026-04-10,Orthopedics,111433,67230,44203
2026-04-10,General,102880,71436,31444
2026-04-10,Emergency,164304,114207,50097
2026-04-11,Cardiology,85080,66539,18541
2026-04-11,Neurology,77152,52962,24190
2026-04-11,Orthopedics,55039,42220,12819
2026-04-11,General,53178,41666,11512
2026-04-11,Emergency,128268,88659,39609
2026-04-12,Cardiology,53463,40182,13281
2026-04-12,Neurology,49123,32403,16720
2026-04-12,Orthopedics,93516,69879,23637
2026-04-12,General,55191,41165,14026
2026-04-12,Emergency,144479,108589,35890
2026-04-13,Cardiology,89499,67039,22460
2026-04-13,Neurology,123298,81467,41831
2026-04-13,Orthopedics,136197,96567,39630
2026-04-13,General,53581,37433,16148
2026-04-13,Emergency,84460,54782,29678
2026-04-14,Cardiology,133822,90637,43185
2026-04-14,Neurology,83095,54148,28947
2026-04-14,Orthopedics,54522,36007,18515
2026-04-14,General,63148,46454,16694
2026-04-14,Emergency,90949,63735,27214
2026-04-15,Cardiology,66639,46452,20187
2026-04-15,Neurology,105108,74249,30859
2026-04-15,Orthopedics,124152,96148,28004
2026-04-15,General,71664,43181,28483
2026-04-15,Emergency,110095,87058,23037
2026-04-16,Cardiology,71119,50625,20494
2026-04-16,Neurology,121222,75463,45759
2026-04-16,Orthopedics,102734,65783,36951
2026-04-16,General,123641,80713,42928
2026-04-16,Emergency,121350,75266,46084
2026-04-17,Cardiology,111247,73555,37692
2026-04-17,Neurology,63848,50007,13841
2026-04-17,Orthopedics,83764,57931,25833
2026-04-17,General,140945,100720,40225
2026-04-17,Emergency,129393,97009,32384
2026-04-18,Cardiology,63661,44123,19538
2026-04-18,Neurology,62654,45801,16853
2026-04-18,Orthopedics,65910,52675,13235
2026-04-18,General,52797,35894,16903
2026-04-18,Emergency,119469,72847,46622
2026-04-19,Cardiology,49282,36617,12665
2026-04-19,Neurology,59840,41336,18504
2026-04-19,Orthopedics,80791,54251,26540
2026-04-19,General,25542,19191,6351
2026-04-19,Emergency,162365,107582,54783
2026-04-20,Cardiology,75041,55377,19664
2026-04-20,Neurology,63001,47334,15667
2026-04-20,Orthopedics,88038,57684,30354
2026-04-20,General,60029,40008,20021
2026-04-20,Emergency,95295,66416,28879
2026-04-21,Cardiology,64986,47320,17666
2026-04-21,Neurology,45924,31274,14650
2026-04-21,Orthopedics,107023,82169,24854
2026-04-21,General,115771,71929,43842
2026-04-21,Emergency,130180,91558,38622
2026-04-22,Cardiology,100067,71219,28848
2026-04-22,Neurology,70291,43804,26487
2026-04-22,Orthopedics,155810,96760,59050
2026-04-22,General,131342,103911,27431
2026-04-22,Emergency,176605,140988,35617
2026-04-23,Cardiology,78681,53770,24911
2026-04-23,Neurology,140533,100617,39916
2026-04-23,Orthopedics,55962,40928,15034
2026-04-23,General,85682,63044,22638
2026-04-23,Emergency,130827,92218,38609
2026-04-24,Cardiology,141032,96718,44314
2026-04-24,Neurology,138419,94970,43449
2026-04-24,Orthopedics,128610,99611,28999
2026-04-24,General,74388,47082,27306
2026-04-24,Emergency,111850,67343,44507
2026-04-25,Cardiology,44254,34383,9871
2026-04-25,Neurology,67508,48126,19382
2026-04-25,Orthopedics,43092,26192,16900
2026-04-25,General,90813,65732,25081
2026-04-25,Emergency,122413,84219,38194
2026-04-26,Cardiology,44812,31780,13032
2026-04-26,Neurology,35744,21585,14159
2026-04-26,Orthopedics,80927,56374,24553
2026-04-26,General,56834,44744,12090
2026-04-26,Emergency,170747,125918,44829
2026-04-27,Cardiology,151604,100408,51196
2026-04-27,Neurology,133372,94663,38709
2026-04-27,Orthopedics,106556,78279,28277
2026-04-27,General,72007,46465,25542
2026-04-27,Emergency,149356,90833,58523
2026-04-28,Cardiology,157088,113758,43330
2026-04-28,Neurology,110378,70597,39781
2026-04-28,Orthopedics,134809,91508,43301
2026-04-28,General,105193,75872,29321
2026-04-28,Emergency,175309,112203,63106
2026-04-29,Cardiology,109979,75687,34292
2026-04-29,Neurology,150304,111648,38656
2026-04-29,Orthopedics,107770,71624,36146
2026-04-29,General,63603,46230,17373
2026-04-29,Emergency,106518,83206,23312
2026-04-30,Cardiology,51752,38307,13445
2026-04-30,Neurology,101693,77334,24359
2026-04-30,Orthopedics,98934,62780,36154
2026-04-30,General,134305,85206,49099
2026-04-30,Emergency,112409,70100,42309
2026-05-01,Cardiology,79141,53695,25446
2026-05-01,Neurology,76517,56394,20123
2026-05-01,Orthopedics,159856,113681,46175
2026-05-01,General,69401,46315,23086
2026-05-01,Emergency,176045,120032,56013
2026-05-02,Cardiology,35036,25710,9326
2026-05-02,Neurology,48524,35477,13047
2026-05-02,Orthopedics,36471,24855,11616
2026-05-02,General,67575,49635,17940
2026-05-02,Emergency,170430,120520,49910
2026-05-03,Cardiology,53074,40130,12944
2026-05-03,Neurology,74697,47341,27356
2026-05-03,Orthopedics,84619,64196,20423
2026-05-03,General,73017,56413,16604
2026-05-03,Emergency,105055,67310,37745
2026-05-04,Cardiology,72393,47816,24577
2026-05-04,Neurology,124430,93261,31169
2026-05-04,Orthopedics,82099,52413,29686
2026-05-04,General,117333,72067,45266
2026-05-04,Emergency,138641,98511,40130
2026-05-05,Cardiology,68202,47863,20339
2026-05-05,Neurology,134191,91140,43051
2026-05-05,Orthopedics,122316,80632,41684
2026-05-05,General,118145,92286,25859
2026-05-05,Emergency,101392,75636,25756
2026-05-06,Cardiology,110431,71543,38888
2026-05-06,Neurology,63632,46575,17057
2026-05-06,Orthopedics,52765,40810,11955
2026-05-06,General,142031,90268,51763
2026-05-06,Emergency,198824,121945,76879
2026-05-07,Cardiology,47324,33698,13626
2026-05-07,Neurology,49099,32174,16925
2026-05-07,Orthopedics,72946,51558,21388
2026-05-07,General,79503,52538,26965
2026-05-07,Emergency,141940,102936,39004
2026-05-08,Cardiology,138101,99655,38446
2026-05-08,Neurology,138265,104431,33834
2026-05-08,Orthopedics,77420,47917,29503
2026-05-08,General,112251,87917,24334
2026-05-08,Emergency,100759,74228,26531
2026-05-09,Cardiology,54732,37308,17424
2026-05-09,Neurology,74274,58446,15828
2026-05-09,Orthopedics,57715,43859,13856
2026-05-09,General,48886,31124,17762
2026-05-09,Emergency,154799,97425,57374
2026-05-10,Cardiology,82991,50092,32899
2026-05-10,Neurology,60419,36484,23935
2026-05-10,Orthopedics,53955,42515,11440
2026-05-10,General,27294,17677,9617
2026-05-10,Emergency,153144,107927,45217
2026-05-11,Cardiology,124487,97375,27112
2026-05-11,Neurology,45703,28917,16786
2026-05-11,Orthopedics,111171,86877,24294
2026-05-11,General,104172,71550,32622
2026-05-11,Emergency,146898,100270,46628
2026-05-12,Cardiology,115129,83854,31275
2026-05-12,Neurology,137341,95237,42104
2026-05-12,Orthopedics,150531,116944,33587
2026-05-12,General,80994,57313,23681
2026-05-12,Emergency,116249,70639,45610
2026-05-13,Cardiology,133463,94577,38886
2026-05-13,Neurology,71988,53525,18463
2026-05-13,Orthopedics,58631,41987,16644
2026-05-13,General,97293,61209,36084
2026-05-13,Emergency,121493,95446,26047
2026-05-14,Cardiology,64316,50754,13562
2026-05-14,Neurology,83271,63154,20117
2026-05-14,Orthopedics,131504,99437,32067
2026-05-14,General,156612,121938,34674
2026-05-14,Emergency,142214,110326,31888
2026-05-15,Cardiology,71714,55310,16404
2026-05-15,Neurology,50919,34834,16085
2026-05-15,Orthopedics,94491,69138,25353
2026-05-15,General,118574,76451,42123
